FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Melanoplus angustipennis,20.95,1,22.5,1,21.725,1,21.725,1,4.2,1,4.62,"1,55",1.2,55,39,1,,,,,,,,,,,16.133,"1,55",,,X,X,,X,,X
Acrididae,Melanoplus bispinosus,,,,,,,,,,,4.54,55,1.05,55,,,,,,,,,,,,,29.94,55,,,,,,,,
Acrididae,Melanoplus bivittatus,29,1,38.5,1,33.75,1,33.75,1,5.8,1,5.3,"1,55",1.33,55,40,1,,,,,Semivoltine,7,0,0,0,1,59.85,"1,55,57",8.2,57,X,X,,X,X,X
Acrididae,Melanoplus borealis,20.5,"1,58",23.475,"1,58",21.99,"1,58",21.99,"1,58",4.4,1,3.95,"1,58",1,58,41.6485,"1,58",71.467,58,113.1155,c,Semivoltine,7,0,0,0,1,14.6,"1,58",5.4,58,X,X,,X,X,
Acrididae,Melanoplus bowditchi,21.75,1,24.5,1,23.125,1,23.125,1,5,1,4.7,1,,,35,1,,,,,,,,,,,12.5,1,,,X,X,,X,,
Acrididae,Melanoplus bruneri,20,1,24.5,1,22.25,1,22.25,1,5.1,1,4.05,1,,,33,1,,,,,Semivoltine,7,0,0,0,1,21.5,1,,,X,X,,X,X,X
Acrididae,Melanoplus confusus,18.5,1,23.5,1,21,1,21,1,4.6,1,4.725,"1,55",1.37,55,43,1,,,,,Univoltine,7,1,0,0,0,11.69,"1,55",,,X,X,,X,,X
Acrididae,Melanoplus dawsoni,16.65,1,19.75,1,18.2,1,18.2,1,4.8,1,4.1,"1,55",1.11,55,43.5,1,,,,,,,,,,,10.9,"1,55",,,X,X,,,,X
Acrididae,Melanoplus devastator,20.25,1,22,1,21.125,1,21.125,1,4,1,4.15,1,,,70,1,,,,,,,,,,,25.5,1,,,X,X,,X,X,
Acrididae,Melanoplus differentialis,31.5,1,36.5,1,34,1,34,1,5.65,1,4.87,"1,55",1.21,55,32,1,,,,,Univoltine,1,1,0,0,0,108.25,"1,55",7,59,X,X,,X,X,X
